Andres/Corrales/543 Peepee Lane/Mouse, Ny/4/Sandy/Patrick/Larry/
Andrew/Vasquez/555 Lord Lane/Bron, Pa/4/Juliet/Chase/Brandon/
Long/Vuu/134 Asian Street/Vietnam, Vm/4/Jimmy/Chester/King/
John/Smith/431 Random Lane/Mexico, Mx/4/Jordan/Frank/Bobby/
Paul/Murray/123 Chenango Street/Montrose, Pa/4/Theresa/Emily/Savannah/
Allison/Lewis/1884 Vestal Parkway/Vestal, Ny/4/Jamie/Emily/Aubry/
Theresa/Grabowski/296 Oak Street/Goshen, Ny/2/Dan/
David/Parker/133 Pennsylvania Ave/Springfield, Ma/1/
Stephen/Post/722 Newark Valley Road/Owego, Ny/3/Susan/Tom/
Emily/Post/722 Newark Valley Road/Owego, Ny/2/Edward/
Deborah/George/143 Alpine Road/Las Vegas, Nv/1/
Allen/George/143 Alpine Road/Las Vegas, Nv/3/Sally/Julie/
Judy/Hellman/18801 Jefferson Ave/Brentwood, Ca/4/Robert/Tabitha/Allie Grace/
Joel/Aylesworth/56 Washington Street/Akron, Oh/2/Octavia/
Marci/Podder/1884A San Clemente Ave/Apple Valley, Ca/1/
Alan/Parker/129 Trenton Street/Springfield, Ma/2/Brenda/
Trisha/Johnson/2978 Utica Avenue/Syracuse, Ny/3/Jim/Tom/
Mike/Squier/546 Owego Avenue/Maine, Ny/2/Bob/
Jessica/Briscoe/1884 Tundrell Court/Baltimore, Md/4/Carl/Apple/Pear/
Alicia/Philips/19a Broad Street/Vestal, Ny/2/Geoff/
Amber/Cameron/429 California Ave/Oakwood, Ca/3/Keith/Amy/
Deanna/Lindstrom/1443 Goldstrike Road/Apple Valley, Ca/2/Timothy/
Matt/Morneault/18 22nd Street/Philadelphia, Pa/4/Sally/Tom/Edward/
Polly/Heimerl/2456 Magic Court/Lake Orange, Fl/2/Mike/
Robin/Tagg/9034 Tech Way/Blacksburg, Va/3/Bonita/Lewis/
Sheryl/Lyon/94 Beacon Street/Akron, Oh/3/Brenda/Megan/
Karen/Rising/149 Main Street/Owego, Ny/2/Jeremy/
Audra/Boucher/27 14th Avenue/Plano, Tx/2/Jonathan/
Dan/Williams/1819 Lynchburg Way/Lynchburg, Va/4/Debbie/Rob/Dan Jr./
Eric/Wood/84 Spartan Court/Blackwater, Tn/2/Shen Yu/
Frank/Caslin/1845 Red Creek Court/Holly, Sd/3/Michelle/Mia/
Janna/Joo/777 Marine Road/Talice, Va/2/Mike/
Jordan/Van Rijn/8475 Marin County Road/Placer, Mn/3/Leonora/Jynee/
Meg/Merwin/123 Appleton Lane/Endicott, Ny/4/Allen/Christie/Kathy
